Dealer Code,VIN,Inventory Status,Description,MODEL
MT007,KM8RMES22TU071202,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES22TU080353,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES22TU080742,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES23TU065442,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES24TU088650,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES25TU088656,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES27TU021167,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES27TU065430,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES28TU065422,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES28TU088652,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES29TU091267,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT013,KM8RKESA8TU071394,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT013,KM8RKES2XTU060874,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT013,KM8RKES24TU058960,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT013,KM8RKES26TU059866,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT013,KM8RKES26TU060886,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT013,KM8RKES27TU072643,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT013,KM8RKES28TU076703,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT013,KM8RMESA5TU069354,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT013,KM8RMES21TU082501,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT014,KM8RKESA3TU069083,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT014,KM8RKESA4TU059548,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT014,KM8RKESA4TU068458,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT014,KM8RKESA8TU069158,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT014,KM8RKESA8TU077597,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT014,KM8RKES23TU015923,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT014,KM8RMESA0TU030171,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT014,KM8RMESA5TU049251,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT014,KM8RMESA8TU027423,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT014,KM8RMES29TU070970,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND002,KM8RKES20TU036406,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND002,KM8RKES26TU038824,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND002,KM8RKES29TU049221,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND002,KM8RMESA4TU068700,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND002,KM8RMESA9TU071981,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND002,KM8RMES21TU088895,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND002,KM8RMES24TU048620,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND002,KM8RMES25TU089080,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKESAXTU068464,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RKESAXTU071056,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RKESA5TU069098,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RKESA5TU069344,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RKESA6TU059597,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RKESA6TU071457,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RKESA9TU060730,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RKESA9TU071260,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RKES2XTU038258,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES2XTU085919,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES2XTU089694,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES20TU026295,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES20TU039287,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES22TU076745,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES22TU084988,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES23TU036402,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES23TU090542,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES24TU030317,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES24TU087293,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES24TU089397,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES24TU089903,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES25TU024767,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES25TU029659,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES26TU036989,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES26TU037270,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES26TU061021,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES27TU085036,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RKES28TU048643,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMESAXTU072671,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA0TU049237,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA0TU069200,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA0TU071495,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA1TU072851,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA2TU068694,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA3TU068705,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA6TU049243,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA6TU072683,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA7TU069100,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA8TU053892,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMESA9TU068708,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND006,KM8RMES2XTU087759,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES20TU081050,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES20TU088998,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES21TU057842,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES21TU065441,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES21TU088993,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES22TU036935,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES22TU065528,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES22TU066470,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES23TU019402,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES23TU056224,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES23TU064890,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES23TU065571,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES23TU088655,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES25TU066687,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES26TU064883,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES27TU046604,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES27TU055836,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES27TU066464,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES27TU070420,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES28TU020545,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES28TU039564,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND006,KM8RMES29TU056213,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND011,KM8RKESAXTU069209,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND011,KM8RKESA1TU071009,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND011,KM8RKES20TU090546,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND011,KM8RKES27TU086459,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND011,KM8RMESA4TU068681,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND011,KM8RMESA5TU055275,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND011,KM8RMESA7TU064429,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ND011,KM8RMES21TU089027,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND011,KM8RMES23TU048589,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND011,KM8RMES23TU055896,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND011,KM8RMES27TU087735,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ND011,KM8RMES28TU038799,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKESA3TU059587,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD001,KM8RKESA4TU059114,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD001,KM8RKESA9TU059058,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD001,KM8RKES20TU071172,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES20TU089364,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES21TU089311,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES21TU089857,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES22TU089608,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES23TU089391,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES24TU070767,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES24TU075712,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES24TU089867,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES26TU076134,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES26TU089806,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES27TU070858,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES28TU075714,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RKES29TU090528,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RMESA3TU049197,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD001,KM8RMESA4TU071905,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD001,KM8RMES2XTU095280,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RMES20TU068363,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RMES25TU092982,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RMES26TU068464,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RMES28TU095598,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RMES29TU065672,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD001,KM8RMES29TU068443,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES22TU090421,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES23TU089892,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES24TU071918,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES24TU085009,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES24TU088833,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES24TU089593,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES24TU090551,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES25TU089411,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES26TU084945,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES26TU085948,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES26TU089420,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RKES26TU089899,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
SD005,KM8RMESAXTU062674,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD005,KM8RMESA0TU072629,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD005,KM8RMESA1TU056892,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD005,KM8RMESA2TU069084,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
SD005,KM8RMESA9TU064450,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA035,KM8RKESA3TU070783,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA035,KM8RKES24TU089576,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA035,KM8RMESA2TU071935,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA035,KM8RMESA3TU064394,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA035,KM8RMES2XTU020790,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA035,KM8RMES2XTU091732,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA035,KM8RMES21TU088699,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA035,KM8RMES29TU075666,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA035,KM8RMES29TU087719,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RKES22TU035547,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RKES23TU029515,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RKES23TU037632,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RKES25TU024865,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RKES27TU026357,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RKES28TU024875,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RKES29TU037053,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMESAXTU078633,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA055,KM8RMESA2TU072809,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA055,KM8RMESA4TU077431,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA055,KM8RMES20TU021138,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMES20TU058786,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMES21TU052463,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMES22TU021528,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMES22TU028169,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMES24TU036774,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMES25TU021264,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMES27TU050409,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA055,KM8RMES29TU019792,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RKESA7TU077039,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA059,KM8RKES24TU015378,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RKES25TU049622,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RKES28TU037772,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RMESA0TU063946,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA059,KM8RMESA0TU071979,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA059,KM8RMESA3TU064282,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA059,KM8RMESA5TU072836,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA059,KM8RMESA9TU072743,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
WA059,KM8RMES22TU074858,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RMES23TU015057,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RMES24TU066468,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RMES28TU088585,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RMES29TU089034,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
WA059,KM8RMES29TU091284,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
,,,,
